name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Dr. Reckeweg Women Care Combo (R75 + Magnesium Phosph Biochemic Tablet 6X),Dr Reckeweg & Co,,,,Others
Wheezal Euphrasia Eye Drop,Wheezal Homeo Pharma,Euphrasia Officinalis Isotonic SolutionHydroxybenzoateSodium Methyl,,,Others
Dr Willmar Schwabe India Robinia Pseudocacia Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,Robinia Pseudocacia,4.5,43,Others
Dr. Reckeweg Magnesium Carbonicum Dilution 30 CH,Dr Reckeweg & Co,Magensium Carbonicum,4.2,10,Stomach
ADEL Kali Phos Dilution 1M,Adel Pekana Germany,Kali phos,3.9,23,Brain
Ralson Remedies Cufrest Children's Cough Syrup,Ralson Remedies Pvt Ltd,Justicia Adhatoda 1xAzadirachta Indica 1xOcimum Sanctum 1xDrosera 3xIpecac 3xAntim Tart 3xMagn. Phosphoricum 6xFerrum Phosphoricum 3xNatrum Sulphuricum 6xKalium Muriaticum 3xKalium Sulphuricum 3x,4.0,22,Others
Dr. Reckeweg Hypericum Per Dilution 1000 CH,Dr Reckeweg & Co,Extracts of whole blooming hypericum plant,4.6,78,Joints
Dr. Reckeweg Magnesium Muriaticum Dilution 200 CH,Dr Reckeweg & Co,Magnesium Muriaticum,,,Others
LDD Bioscience LD 70 Hyperhydrosis Drop,LDD Bioscience Pvt Ltd,Acidum nitBelladonnaJaborandiKalium carbLachesisSepiaVeratrum alb,,,Whole Body
Bio India Bach Flower Cherry Plum,Bio-India Pharma Pvt Ltd,Prunus cerasifera,4.9,14,Brain
Dr. Reckeweg Curcuma Lon Mother Tincture Q,Dr Reckeweg & Co,,,,Others
SBL Grindelia Robusta Dilution 30 CH,SBL Pvt Ltd,Grindelia Robusta,4.7,14,Stomach
Homeo Nest Ion Tab,Homeonest India Pvt Ltd,Ferrum Phos 3xKalium Phos 3xCalcarea Phos 3xCalcarea Flourica 3x,,,Others
LDD Bioscience LDD Appetiser Syrup,LDD Bioscience Pvt Ltd,Abies nigraCarduus marianusQuassia amaraHydrastis canadensisCinchona offcinalisAlfalfaGentiana luteaFive phos,,,Stomach
Dr. Reckeweg Chimaphila Umb Dilution 30 CH,Dr Reckeweg & Co,Chimaphila Umbellata,,,Others
REPL Dr. Advice No.29 Constipation Drop,Renovision Exports Pvt Ltd,,,,Others
SBL Haemoglow Blood Purifier Capsule,SBL Pvt Ltd,,3.1,25,Others
SBL Calcarea Sulphurica Biochemic Tablet 200X,SBL Pvt Ltd,Calcarea Sulphurica,4.6,73,Others
Dr. Reckeweg Mercurius Sol Dilution 1000 CH,Dr Reckeweg & Co,,4.5,116,Others
Bio India Bach Flower Mimulus,Bio-India Pharma Pvt Ltd,Mimulus,4.4,11,Whole Body
Bhandari Bach Flower Cerato 30,Bhandari Homoeopathic Laboratories,,,,Others
Dr. Reckeweg Santoninum Dilution 30 CH,Dr Reckeweg & Co,,,,Others
SBL Dioscorea Villosa Dilution 200 CH,SBL Pvt Ltd,Dioscorea Villosa,4.8,17,Others
Dr. Reckeweg Bellis Per Dilution 200 CH,Dr Reckeweg & Co,,4.4,51,Others
Haslab HC 73 Uranium Nitricum Complex Tablet,HASLAB,Uran NNat. Sulph.Acid PhosDamianaAcidum SarcolacticumSyzi J.Strychnium Phos,,,Pancreas
Bjain Omeo Arthritis Syrup,Bjain Pharmaceuticals Pvt Ltd,,4.2,24,Others
SBL Myristica Sebifera Dilution 6 CH,SBL Pvt Ltd,,4.5,51,Others
Dr. Reckeweg Veratrum Alb Dilution 30 CH,Dr Reckeweg & Co,Veratrum Album,,,Heart
ADEL Sepia Dilution 200,Adel Pekana Germany,Sepia,4.7,11,Brain
SBL Damiana Dilution 1000 CH,SBL Pvt Ltd,,4.4,28,Others
ADEL Urea Pura. Dilution 30,Adel Pekana Germany,Urea pura,,,Joints
Dr. Reckeweg Spartium Scop Mother Tincture Q,Dr Reckeweg & Co,Extracts of broom plant flowers,,,Heart
SBL Acid Nitricum Dilution 3 CH,SBL Pvt Ltd,,4.6,269,Others
ADEL Arundo Mauritanica Dilution 30,Adel Pekana Germany,Reed,,,Others
Dr. Reckeweg Cantharis Dilution 3X,Dr Reckeweg & Co,,4.5,119,Others
SBL Clematis Erecta Dilution 1000 CH,SBL Pvt Ltd,Clematis Erecta,4.4,86,Others
SBL Rhus Toxicodendron 0/1 LM,SBL Pvt Ltd,Rhus Toxicodendron,,,Brain
Dr Willmar Schwabe India Calcarea Phosphorica Biochemic Tablet 12X,Dr Willmar Schwabe India Pvt Ltd,Calcarea phosphorica with alcohol,4.3,108,Others
SBL Orchitinum Dilution 200 CH,SBL Pvt Ltd,,4.4,11,Others
Bakson's Conium Maculatum Dilution 200,Bakson's Homeopathy,Conium Maculatum,,,Skin
Bakson's Hippozaeninum Dilution 30,Bakson's Homeopathy,Hippozaeninum,,,Skin
Dr. Reckeweg Magnesium Phosphoricum Dilution 6 CH,Dr Reckeweg & Co,,4.5,35,Others
Wheezal WL24 U.T.I. Drop,Wheezal Homeo Pharma,,,,Others
Dr. Wellmans Au Care Complexion Drop,Dr. Wellmans Homoeopathic Laboratory India Pvt Limited,Berb aquaKali BromPulsatillaCalc carbThujaMagnifera indi,,,Eye
Dr. Reckeweg Belladonna Dilution 3X,Dr Reckeweg & Co,Belladonna,4.8,269,Others
ADEL Nux Vomica Dilution 1M,Adel Pekana Germany,Nux vomica,4.5,53,Eye
Dr. Reckeweg Sabina Dilution 30 CH,Dr Reckeweg & Co,,,,Others
Dr. Reckeweg Lachesis Dilution 6 CH,Dr Reckeweg & Co,,4.6,72,Others
Hapdco MTC-19 Eczema Drop,HAPDCO,PetroleumArsenicum iodatumClematis erectaMercurius solViola tricolor,,,Skin
St. George’s Bach Flower White Chestnut 6 CH,St. George’s Homoeopathy,White Chestnut,5.0,11,Others
Haslab Alfa-AG With Ashwagandha & Ginseng Tonic,HASLAB,,,,Others
Similia Alma Hair Tonic,Similia Homoeo Laboratory,,,,Others
REPL Dr. Advice No.94 Scabies Drop,Renovision Exports Pvt Ltd,,,,Others
Bakson's Gro Up Drop,Bakson's Homeopathy,,,,Others
Dr. Reckeweg Acid Nitricum Dilution CM CH,Dr Reckeweg & Co,,4.5,120,Others
ADEL Aspidosperma Mother Tincture Q,Adel Pekana Germany,,,,Others
REPL Dr. Advice No.58 Sleep-En Drop,Renovision Exports Pvt Ltd,,,,Others
SBL Thyroidinum Dilution 6 CH,SBL Pvt Ltd,Thyroidinium,4.6,157,Stomach
Dr. Reckeweg Nux Mosch Dilution 30 CH,Dr Reckeweg & Co,Nux Moschata,,,Stomach
Ralson Remedies Mensural Tonic,Ralson Remedies Pvt Ltd,Abroma Augusta QAbroma Radix QAletris Farinosa QAlfalfa QTerminalia Arjuna QBerberis Vulgaris QCaulophyllum T. QCinchona QCrataegus oxy QAshoka (Janosia Ashoka) QPulsatilla N QViburnum Prun QKali Brom 1x,4.3,16,Others
Dr Willmar Schwabe India Spongia Tosta Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,Ocean animal spongeEthanolWater,4.5,36,Eye
ADEL Berberis Aq Mother Tincture Q,Adel Pekana Germany,Berberis Aquifolium,,,Others
SBL Cocainum Muriaticum Dilution 30 CH,SBL Pvt Ltd,Cocainum Muriaticum,,,Others
Dr Willmar Schwabe India Bacillus Coli Dilution 1000 CH,Dr Willmar Schwabe India Pvt Ltd,Bacillus Coli,,,Others
Dr Willmar Schwabe India Bio-Combination 01 (BC 01)Tablet,Dr Willmar Schwabe India Pvt Ltd,Calcarea phosphoricaFerrum phosphoricumNatrum muriaticumKalium phosphoricum,,,Others
SBL Calcarea Silicate Dilution 200 CH,SBL Pvt Ltd,,,,Others
Dr Willmar Schwabe India Tellurium Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,Tellurium,4.6,24,Eye
SBL Cadmium Sulphuricum Dilution 200 CH,SBL Pvt Ltd,,,,Others
Haslab Drox 9 Eczemol Drop,HASLAB,,,,Others
ADEL Oenanthe Croc Dilution 30 CH,Adel Pekana Germany,Oenanthe Crocata,,,Nerves
Bhargava Nomin-H Drop,Bhargava Phytolab,,,,Others
Noble Life Energy E29 Polypum Nasal Polyp Drop,Noble Life Energy Pvt. Ltd,Aurum MuriaticumEucalyptus GlobulusKali BichromicumSticta PulmonariaTeucrium Marum,,,Others
Lord's Mother Tincture Kurchi Q,Lord's Homoeopathic Laboratory Pvt Ltd,Kurchi,,,Stomach
REPL Dr. Advice No.41 Sterlin-F Drop,Renovision Exports Pvt Ltd,,,,Others
SBL Mercurius Iodatus Flavus Dilution 30 CH,SBL Pvt Ltd,Photo iodide of mercurySucrose/Lactose,,,Head
Dr. Reckeweg Dioscorea Vil Mother Tincture Q,Dr Reckeweg & Co,Dioscorea Villosa,,,Others
Dr. Reckeweg Causticum Dilution 10M CH,Dr Reckeweg & Co,Natrum causticumAlcohol,4.5,203,Eye
Lord's L 129 Hyperhydrosis Drop,Lord's Homoeopathic Laboratory Pvt Ltd,AcidumBelladonnaJaborandiKalium carb,,,Skin
Ralson Remedies Remegrain Drop,Ralson Remedies Pvt Ltd,Cimicifuga Racemosa 4xGelsemium Sempervirens 3xIris Versicolor 2xSanguinaria Canadensis 3xSpigelia Marylandica 3x,,,Others
LDD Bioscience Mother Tincture Cantharis Q,LDD Bioscience Pvt Ltd,Cantharis,,,Kidney
ADEL Thuja. Dilution 10M,Adel Pekana Germany,Thuja occidentalis.,,,Stomach
Lord's Epigaea Repens Mother Tincture Q,Lord's Homoeopathic Laboratory Pvt Ltd,Epigaea Repens,,,Kidney
Bakson's Chicken Pox Dilution 200,Bakson's Homeopathy,Chickenpox,,,Others
SBL Formica Rufa Dilution 200 CH,SBL Pvt Ltd,Formica Rufa,,,Others
Lord's L 126 Heart Drop,Lord's Homoeopathic Laboratory Pvt Ltd,Phosphorous 5xStroph.His.3xSquilla 2xKali.Carb 3xCactus GrandDigitalis Purp.3xCrataegus Oxy,,,Others
Dr. Reckeweg Influenzinum Dilution 30 CH,Dr Reckeweg & Co,Strains of influenza virus,4.8,38,Others
SBL Podophyllum Peltatum Mother Tincture Q,SBL Pvt Ltd,Podophyllinum,,,Intestine
Dr. Reckeweg Abies Nigra Dilution 30 CH,Dr Reckeweg & Co,,3.9,15,Others
ADEL Conium Mac. Dilution 200,Adel Pekana Germany,,,,Others
Dr. Wellmans Anti Tox Drop,Dr. Wellmans Homoeopathic Laboratory India Pvt Limited,Strychininum NitAvena Sat QQuerecus Gland SpiritusKalmeghCaladium,,,Others
LDD Bioscience Abrotanum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Abrotanum,,,Heart
ADEL Phytolacca D Dilution 200,Adel Pekana Germany,Phystolacca Decandra,,,Brain
Dr Willmar Schwabe India Allium Cepa Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,Allium Cepa,4.6,53,Throat
Dr. Reckeweg Pulsatilla Dilution 10M CH,Dr Reckeweg & Co,Extracts of European wind flowering plant,4.6,234,Joints
SBL Malaria Officinalis Dilution 200 CH,SBL Pvt Ltd,,,,Others
Hapdco Pilodex Tablet,HAPDCO,Extracts of Aloe socotrinaAesculus hippocastanumCollinsonia canadensisNux vomicaRatanhiaHamamelis virginica,,,Others
Dr. Reckeweg Hypericum Per Dilution 10M CH,Dr Reckeweg & Co,Extracts of whole blooming hypericum plant,4.6,78,Joints
Wheezal Calendula Nectar Multi Purpose Cream,Wheezal Homeo Pharma,Aloe veraCalendula,4.8,30,Skin
SBL Acidum Muriaticum Dilution 30 CH,SBL Pvt Ltd,Acidum Muriaticum,,,Others
Bjain Rosemarinus Officinalis Dilution 30C,Bjain Pharmaceuticals Pvt Ltd,Rosemarinus officinalis,,,Hair
SBL Stramonium 0/1 LM,SBL Pvt Ltd,Extra Neutral AlcoholWater,,,Brain
Hapdco Helmisol Drop,HAPDCO,Teucrium MarumVeronia Anthelmintica CinaAtista RadixClerodendronEmbellia RibesThymolFilix Mass,3.7,11,Stomach
Hapdco Warto Plus Cream,HAPDCO,,,,Others
Dr Willmar Schwabe India Cyclamen Europaeum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,Cyclamen Europaeum,,,Others
SBL Arsenic Iodatum Trituration Tablet 6X,SBL Pvt Ltd,Plant extract of arsenic iodideEthanol,4.5,13,Others
Dr Willmar Schwabe India Calcarea Phosphorica Biochemic Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,Calcarea phosphorica with alcohol,4.3,108,Others
New Life Diabesin N Sugar Free Syrup,New Life Laboratories Pvt Ltd,,,,Others
ADEL Glonoinum Dilution 30 CH,Adel Pekana Germany,,,,Others
SBL Titanium Dilution 200 CH,SBL Pvt Ltd,,4.7,12,Others
LDD Bioscience Rhus Tox Dilution 200,LDD Bioscience Pvt Ltd,Rhus Tox,4.2,19,Brain
REPL Dr. Advice No.1 Golden Drop,Renovision Exports Pvt Ltd,,,,Others
SBL Aurum Muriaticum Natronatum Dilution 200 CH,SBL Pvt Ltd,Aurum Mur,4.6,11,Others
Bakson's Oophorinum Dilution 200,Bakson's Homeopathy,Oophorinum Dilution,,,Others
Dr. Johns J-43 Pain Drop,Nanak Laboratories Pvt Ltd,Berberis VulgarisCalcarea PhosphoricaCausticumRhododendron ChrysanthumRhus Toxicodendron,,,Joints
Radient 98 Hernia Drops,Radient Pharma,Nux vomica 6xCocclus ind. 6xBelladonna 6xLycopodium clavatum 6xPlumbum metallicum 6x,,,Others
Hapdco Digestomin Syrup,HAPDCO,,,,Others
SBL Calcarea Iodatum Dilution 200 CH,SBL Pvt Ltd,,4.3,11,Others
ADEL China Dilution 200,Adel Pekana Germany,Cinchona Officinalis,4.4,39,Skin
Dr Willmar Schwabe India Bio-Combination 18 (BC 18) Tablet,Dr Willmar Schwabe India Pvt Ltd,Calcarea fluoricaCalcarea sulphuricaSilicea,,,Others
Wheezal Alfagin Malt Delicious Chocolate,Wheezal Homeo Pharma,Avena Sativa QAlfa alfa QGinseng QAcid Phos 2XFive Phos 3XKali Ars. 4XFerrum Aceticum 3XWithania Somnifera 2XHydrastis 2XChina 2X,,,Stomach
Dr. Reckeweg Bryonia Alba Dilution 1000 CH,Dr Reckeweg & Co,Bryonia Alba,4.6,331,Joints
New Life Bach Flower Clematis 30,New Life Laboratories Pvt Ltd,,4.7,27,Others
ADEL Acid Benz Dilution 200,Adel Pekana Germany,,4.7,16,Others
Dr. Reckeweg Baryta Carbonicum Trituration Tablet 3X,Dr Reckeweg & Co,Baryta Carb,,,Others
Sett Dey Embelia Officinalis (Amlaki) Mother Tincture Q,Sett Dey & Co (Homeo) Lab,Embelia Officinalis (Amlaki),,,Intestine
SBL Acidum Ascorbicum Dilution 30 CH,SBL Pvt Ltd,Acidum Ascorbicum,4.4,43,Others
Bakson's Eupionum Dilution 30,Bakson's Homeopathy,Eupionum,,,Throat
Bio India Complex 4 Anti-Depression Drop,Bio-India Pharma Pvt Ltd,Ambra grisea,,,Heart
SBL Sepia Dilution 10M CH,SBL Pvt Ltd,Sepia,4.4,317,Brain
New Life Bach Flower Willow 30,New Life Laboratories Pvt Ltd,,4.7,27,Others
Bakson B60 Inflamed Mucosa Drop,Bakson's Homeopathy,Lemna minorBelladonnaFerrum phosMerc.sol.hah.Pulsatilla nig.,,,Eye
SBL Lapis Albus Dilution 6 CH,SBL Pvt Ltd,,4.8,36,Others
Dr. Reckeweg Damiana Dilution 30 CH,Dr Reckeweg & Co,,4.0,13,Others
SBL Aranea Diadema Dilution 30 CH,SBL Pvt Ltd,Papal-cross spider,4.5,16,Others
Similia Testis Trituration Tablet 6X,Similia Homoeo Laboratory,,4.0,14,Whole Body
Noble Life Energy E47 Ulceris Peptic Ulcer Drop,Noble Life Energy Pvt. Ltd,Atropinum SulfuricumArgentum NitricumBelladonnaScilla MaritimaAnacardium Orientale,,,Others
LDD Bioscience Tumotin Drop,LDD Bioscience Pvt Ltd,Conium macalatum HPI 4xArsenicum iodatum HPI 30Carbo animalis HPI 6Clematis erecta HPI 3xGalium aparine HPI 30Alcohol content 60% v/v,,,Others
SBL Croton Tiglium Mother Tincture Q,SBL Pvt Ltd,Extracts from the Croton Tiglium plant,,,Others
Dr. Reckeweg Allium Cepa Dilution 6 CH,Dr Reckeweg & Co,Bulb of the onion,4.6,93,Eye
Dr Willmar Schwabe India Iodium Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,Iodium,4.6,32,Others
German's Fever Care and Cure Drop,German Homoeo Care and Cure Pvt. Ltd.,Baptisia TinctoriaBryonia AlbaCausticumEucalyptus GlobulusEupatorium PerfoliatumFerrum PhosphoricumGelsemium SempervirensSabadillaCamphoraAlcohol ContentExcipient,4.7,11,Throat
SBL Calcarea Iodatum Dilution 30 CH,SBL Pvt Ltd,,4.3,11,Others
ADEL Sarsaparilla Dilution 30,Adel Pekana Germany,Sarsaparilla.,,,Kidney
Dr Willmar Schwabe India Bio-Combination 02 (BC 02) Tablet,Dr Willmar Schwabe India Pvt Ltd,Kalium phosphoricumMagnesia phosphoricaNatrum muriaticumNatrum sulphuricum,,,Throat
Dr Willmar Schwabe India Nux Vomica Dilution 1000 CH,Dr Willmar Schwabe India Pvt Ltd,Nux Vomica,4.5,435,Eye
Dr. Reckeweg Thyroidinum Dilution CM CH,Dr Reckeweg & Co,Thyroidinium,4.4,67,Stomach
Dr Willmar Schwabe India Aethusa Cynapium Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,Aethusa cynapium with alcohol,4.7,10,Whole Body
Dr. Reckeweg Trillium Pendulum Dilution 30 CH,Dr Reckeweg & Co,,,,Others
Bakson's Cannabis Sativa Dilution 50M,Bakson's Homeopathy,Cannabis Sativa,,,Skin
SBL Formica Rufa Dilution 30 CH,SBL Pvt Ltd,Formica Rufa,,,Others
ADEL Damiana Mother Tincture Q,Adel Pekana Germany,,,,Others
SBL Ailanthus Glandulosa Mother Tincture Q,SBL Pvt Ltd,Plant extract of the tree of heavenEthanol,,,Brain
SBL Arsenicum Album 0/2 LM,SBL Pvt Ltd,,4.9,14,Others
SBL Spongia Tosta Dilution 1000 CH,SBL Pvt Ltd,Ocean animal spongeEthanolWater,4.6,209,Eye
Similia Diabkare Drop,Similia Homoeo Laboratory,Gymnema QSyzygium Jamb QCephalandra QUranium nit 6cAcid phos,,,Joints
SBL Cascarilla Mother Tincture Q,SBL Pvt Ltd,Bark of Croton eleuteria,,,Stomach
Medilexicon Joint Care Tablet,Medilexicon,,,,Skin
SBL Millefolium Dilution 30 CH,SBL Pvt Ltd,,,,Others
Dr Willmar Schwabe India Arsenicum Album Dilution CM CH,Dr Willmar Schwabe India Pvt Ltd,,4.6,286,Others
Dr. Reckeweg Sepia Dilution 10M CH,Dr Reckeweg & Co,Sepia,4.5,167,Brain
Biohome Calculin Drop,Bio Home Pharmacy,,,,Others
SBL Tuberculinum Dilution 30 CH,SBL Pvt Ltd,Nosode (bovine TB)EthanolWater,4.6,101,Throat
SBL Rheum Dilution 30 CH,SBL Pvt Ltd,Extract of rhubarb plantEthanolWater,,,Whole Body
Bhandari Bach Flower Elm 30,Bhandari Homoeopathic Laboratories,Bach Flower Elm,,,Others
Radient #48 Alopecia Drops,Radient Pharma,Alfalafa 3xJaborandi 3xLycopodium clavatum 3xWiesbaden 3xUstilago maydis 3xKali phosphoricum 3xAcidum phosphoricum 3x,,,Hair
Dr. Wellmans Lema Forte Drop,Dr. Wellmans Homoeopathic Laboratory India Pvt Limited,Fucus vPhytolacca BerryAmm BromPuls Nig,,,Stomach
SBL Calcarea Carbonica 0/6 LM,SBL Pvt Ltd,CalciumLactose,4.6,12,Others
REPL Dr. Advice No.15 Amaebic Dysentry Drop,Renovision Exports Pvt Ltd,,,,Others
Dr. Reckeweg Zincum Sulf Dilution CM CH,Dr Reckeweg & Co,Zincum Sulphuricum,,,Stomach
Adven Hemotone Tonic,Adven Biotech Pvt Ltd,,,,Others
Dr Willmar Schwabe India Terminalia Chebula Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Terminalia Chebula,,,Eye
Haslab Drox 5 Colinex Drop,HASLAB,,,,Others
Haslab Rhustee Oil Spray,HASLAB,,,,Others
SBL Avena Sativa Dilution 1000 CH,SBL Pvt Ltd,Extracts from the Avena Sativa plant,4.5,26,Others
Aaradhya Sugar Globules Size 50,Aaradhya Sugar Enterprises,Pharmaceutical cane sugar,4.2,100,Others
ADEL Chelidonium Dilution 30,Adel Pekana Germany,,4.5,12,Others
ADEL Aloe Soc Dilution 200,Adel Pekana Germany,,,,Others
SBL Cina Mother Tincture Q,SBL Pvt Ltd,,,,Others
SBL Acid Sulphuricum Dilution 200 CH,SBL Pvt Ltd,,4.7,27,Others
St. George’s Bach Flower Walnut,St. George’s Homoeopathy,Walnut Bach Flower extract,,,Others
ADEL Petroleum Dilution 200,Adel Pekana Germany,,4.6,10,Others
SBL Asarum Europaeum Dilution 200 CH,SBL Pvt Ltd,Extracts of European snakeroot plant,,,Others
Pioneer Pharma Calcarea Phos Globules Pellet Multidose Pills 200 CH,Pioneer Homoeo Pharma Pvt Ltd,Calcarea phos,,,Others
Dr. Reckeweg Lapis Albus Dilution 6 CH,Dr Reckeweg & Co,,4.5,26,Others
Lord's Alfa-Tone With Ginseng Tonic,Lord's Homoeopathic Laboratory Pvt Ltd,Ginseng,,,Others
SBL Serum Anguillae (Eel Serum) Dilution 1000 CH,SBL Pvt Ltd,Anguillae,4.3,68,Kidney
SBL Ferrum Phosphoricum Dilution 6 CH,SBL Pvt Ltd,Ferrum PhosphoricumAlcohol,4.7,61,Others
SBL Magnesia Muriaticum Dilution 200 CH,SBL Pvt Ltd,Magnesium Muriaticum,4.4,11,Whole Body
Dr. Reckeweg Acid Nitricum Dilution 3X,Dr Reckeweg & Co,,4.5,120,Others
Haslab HC 54 Alfalfa Complex Tablet,HASLAB,AlfalfaChinaHydrastisAvena SatFive Phos,,,Others
SBL Phosphorus Mother Tincture Q,SBL Pvt Ltd,Phosphorous Dilution,4.2,10,Stomach
Dr Willmar Schwabe India Lyssinum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,Extra Neutral Alcohol,,,Others
Dr. Reckeweg Syphilinum Dilution 10M CH,Dr Reckeweg & Co,,4.6,21,Others
SBL Secale Cornutum Dilution 200 CH,SBL Pvt Ltd,Secale cornutum phytochemicals,4.8,19,Intestine
Dr Willmar Schwabe Germany Berberis Vulgaris (Berberis) Dilution 10M,Dr Willmar Schwabe India Pvt Ltd,Berberis aquifolium,,,Kidney
Bjain Omeo Arthritis Sugar Free Syrup,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Lolium Temulentum Dilution 200 CH,SBL Pvt Ltd,,4.8,10,Others
SBL Bothrops Lanceolatus Dilution 30 CH,SBL Pvt Ltd,,,,Others
SBL Beryllium Metallicum Dilution 30 CH,SBL Pvt Ltd,,,,Others
Dr. Johns J-29 Motion Sickness Drop,Nanak Laboratories Pvt Ltd,,,,Others
SBL Stellaria Media Dilution 200 CH,SBL Pvt Ltd,Stellaria media plantWaterExtra neutral alcohol,4.9,11,Whole Body
German's Scalp Care Drop (External),German Homoeo Care and Cure Pvt. Ltd.,Cinchona OfficinalisArnica MontanaJaborandiCantharisAlcohol contentExcipients,,,Hair
Dr. Reckeweg Acid Fluor Dilution 1000 CH,Dr Reckeweg & Co,,4.4,107,Others
Dr. Reckeweg Xanthoxylum Mother Tincture Q,Dr Reckeweg & Co,Fresh bark of pricky ash plantEthanolWater,,,Brain
Similia Babchi Oil,Similia Homoeo Laboratory,Babchi oil,,,Joints
SBL Abrotanum Dilution 200 CH,SBL Pvt Ltd,,4.4,55,Others
ADEL Ruta Grav Dilution 30 CH,Adel Pekana Germany,Ruta Graveolens,,,Eye
Dr. Reckeweg Antimonium Tart Dilution 6 CH,Dr Reckeweg & Co,,4.7,102,Others
Dr. Reckeweg Sabadilla Dilution 200 CH,Dr Reckeweg & Co,,4.0,23,Others
Sett Dey Antim Tart Dilution 200,Sett Dey & Co (Homeo) Lab,Antimonium Tartaricum,,,Intestine
SBL Palladium Dilution 200 CH,SBL Pvt Ltd,Palladium with alcohol,,,Intestine
Dr. Reckeweg Agnus Castus Dilution 6 CH,Dr Reckeweg & Co,Angus Castus,4.3,132,Others
SBL Bryonia Alba 0/1 LM,SBL Pvt Ltd,Bryonia Alba,,,Others
Dr. Reckeweg Trombidium Muscae Domesticae Dilution 1000 CH,Dr Reckeweg & Co,,,,Others
Nipco Cardonip Heart Tonic,MM Traders,CrataegusCactusMag Phos Convallaria MDigitalisValerianaAur mur natkali phos,,,Heart
Dr Willmar Schwabe India Calcarea Carbonica Dilution 1000 CH,Dr Willmar Schwabe India Pvt Ltd,Calcarea Carbonica,4.5,116,Others
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,Gymnema Sylvestre,4.1,21,Heart
SBL Syphilinum Dilution 1000 CH,SBL Pvt Ltd,Syphilium Dilution,4.2,20,Others
ADEL Colchicum. Dilution 200,Adel Pekana Germany,,,,Others
SBL Embelia Ribes Mother Tincture Q,SBL Pvt Ltd,,4.4,10,Others
Dr. Reckeweg Sanguinarinum Nitricum Dilution 200 CH,Dr Reckeweg & Co,Plant extract of sanguinaria canadensis EthanolWater,,,Throat
LDD Bioscience China Off Dilution 200,LDD Bioscience Pvt Ltd,China Officinalis,,,Heart
SBL Calcarea Arsenicosa Dilution 30 CH,SBL Pvt Ltd,,,,Others
LDD Bioscience Gasodrop,LDD Bioscience Pvt Ltd,Nux Vomica,,,Others
SBL Influenzinum Dilution 1000 CH,SBL Pvt Ltd,Influenzium,4.6,131,Others
SBL Natrum Sulphurica Biochemic Tablet 30X,SBL Pvt Ltd,,4.5,95,Others
Dr. Reckeweg Teucrium M V Dilution 200 CH,Dr Reckeweg & Co,Teucrium Marum Verum,4.3,21,Intestine
SBL Mercurius Vivus Dilution 200 CH,SBL Pvt Ltd,Mercurius Vivus,,,Hair
LDD Bioscience Passiflora Incarnata Mother Tincture Q,LDD Bioscience Pvt Ltd,Passiflora Incarnata,4.1,26,Others
New Life Bach Flower Holly 30,New Life Laboratories Pvt Ltd,Ilex aquifolium,4.4,33,Others
Bjain Omeo Flu Tablet,Bjain Pharmaceuticals Pvt Ltd,,,,Others
Dr Willmar Schwabe India Psorinum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,PsorinumAlcoholwater,3.9,22,Eye
Wheezal WL46 Eosinophilia Drop,Wheezal Homeo Pharma,Apis MellificaArsenicum AlbumBromiumIodiumNatrum ArsenicumThyroidinum,4.5,14,Heart
Dr. Reckeweg Rumex Cris Dilution 200 CH,Dr Reckeweg & Co,Yellow dock rootEthanolWater,4.7,26,Throat
Healing Herbs Cerato,Healing Pharma India Pvt Ltd,Cerato flower,,,Others
Haslab Drox 6 D-Can Drop,HASLAB,"Carbo Ani 3xHydrastinum Mur 3xThujaOcc 3xCundurango 2xConium, Mac 2xScrophularia 3xLobeliaerinus 3xSchirrhinum 3xScillaritima 3x",,,Others
Dr Willmar Schwabe India Silicea Dilution 6 CH,Dr Willmar Schwabe India Pvt Ltd,Silicon dioxideEthanolWater,4.4,65,Joints
Dr. Reckeweg Physostigma Dilution 10M CH,Dr Reckeweg & Co,,4.6,78,Others
SBL Cobaltum Metallicum Dilution 30 CH,SBL Pvt Ltd,Cobaltum metallicumAlcohol,4.8,11,Others
Dr. Reckeweg Naja Trip Dilution 200 CH,Dr Reckeweg & Co,Naja tripudians with alcohol,,,Heart
Hapro IAR Drop No. 09 (For Gastritis),Hapro Homeo Chem Pvt Ltd,Hypericum perforatumCalendula officinalsLedum palustreEchinacea rudbeckia,,,Stomach
