name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Dr. Reckeweg R71 Sciatica Drop,Dr Reckeweg & Co,"Aconitum D4, Arsenic. Album D30, Colocynthis D4, Gnaphalium Polycephalum D3, Magnesium Phosphoricum D8",4.5,534,Whole Body
Dr. Reckeweg R11 Rheumatism Drop,Dr Reckeweg & Co,"Berberis, Calcium phosphoricum, Causticum Hahnemanni, Rhododendron, Rhus toxicodendron",4.6,403,Joints
Bjain Omeo Verti-Gone Drop,Bjain Pharmaceuticals Pvt Ltd,Argentum nitricum Cocculus indicus Gelsemium sempervirens Conium maculatum,,,Nerves
SBL Calcarea Fluorica Biochemic Tablet 6X,SBL Pvt Ltd,Calcium Flouricum,4.5,1008,Joints
SBL Berberis Aquifolium Gel,SBL Pvt Ltd,BerberisaquifoliumSandalwoodTurmeric,4.3,758,Skin
Dr. Reckeweg R7 Liver and Gallbladder Drop,Dr Reckeweg & Co,"Carduus marianus, Chelidonium, Cholesterinum, Colocynthis, Lycopodium, Nux vomica",4.6,431,Whole Body
Bjain Omeo Allergy Tablet,Bjain Pharmaceuticals Pvt Ltd,Ferrum phosphoricum Natrum muriaticumKali sulphuricumKali muriaticum,4.2,48,Eye
Dr. Reckeweg R65 Psoriasis Drop,Dr Reckeweg & Co,"Berberis Aquifol. Q, Calcium Carbonic. Hahnemanni D30, Graphites D12, Hydrocotyle Asiatica D2, Natrium Chloratum D30, Arsenicum Album D12.",4.4,324,Skin
Dr. Reckeweg R59 Weight Loss,Dr Reckeweg & Co,"Calcium Carb. Hahnem. D12, Fucus Vesiculos. D2, Graphites D12, Natrium Sulfuric. D2, Croton Tiglium D4, Spongia D3",4.1,365,Others
Bakson's Aller Aid Tablet,Bakson's Homeopathy,"Ferrum Phos. 3x, Natrum Mur. 6x, Kali Sulph. 3x, Kali Mur. 3x, Baptisia Tinc. 4x, Bryonia Alba 4x, Causticum 6x, Eucalyptus Gl. 3x, Gelsemium Sep. 6x, Sabadilla 6x, Eupatorium Perf. 3x",4.4,565,Heart
SBL Liv T Tonic,SBL Pvt Ltd,"Andrographis paniculata Q, Carduus marianus Q, Chelidonium majus Q, Hydrastis canadensis Q, Ipecacuanha Q, Podophyllum peltatum Q, Taraxacum officinale Q",4.5,608,Stomach
SBL Prostonum Drop,SBL Pvt Ltd,"Sabal serrulata 2x, Chimaphila 3x, Clematis erecta 3x, Conium maculatum 3x, Pareira brava 3x, Pulsatilla nigricans 3x.",4.5,629,Others
SBL Arsenicum Album Dilution 30 CH,SBL Pvt Ltd,,4.6,1027,Others
Allen A84 Lipoma Drop,Allen Homoeo & Herbal Products Ltd,"Baryta Carbonica 3x, Calcarea Arsenicosa 3x, Calcarea Carbonica 3x, Calcarea Fluorica 3x Lapis Albus 3x, Radium Bromide 3x, Spigelia 3x, Silicea 3x, Thuja Occidentalis 3x in aqua distillate",4.1,334,Whole Body
SBL Chelidonium Majus Mother Tincture Q,SBL Pvt Ltd,Chelidonium Majus,4.6,607,Eye
SBL Jaborandi Mother Tincture Q,SBL Pvt Ltd,Jaborandi,4.4,499,Hair
Dr. Reckeweg R9 Cough Drop,Dr Reckeweg & Co,"Belladonna, Bryonia, Coccus cacti, Corallium rubrum, Cuprum aceticum, Drosera",4.6,368,Throat
SBL Alfalfa Tonic with Ginseng,SBL Pvt Ltd,AlfalfaAvena SativaGinsengChinaHydrastis CanKali PhosKali ArsFerrum AceticumCalcarea Phos,4.4,715,Joints
Bakson's Natrum Phosphoricum Biochemic Tablet 12X,Bakson's Homeopathy,Natrum phosphoricum,4.4,28,Heart
SBL Calcarea Phosphorica Biochemic Tablet 6X,SBL Pvt Ltd,,4.6,748,Others
Dr. Reckeweg Testes Siccati Trituration Tablet 3X,Dr Reckeweg & Co,Testes extract,4.3,299,Others
SBL Arnica Montana Herbal Shampoo with TJC,SBL Pvt Ltd,"Arnica, Jaborandi, Thuja, and Calendula",4.4,727,Hair
SBL Nux Vomica Dilution 200 CH,SBL Pvt Ltd,Nux Vomica,4.6,1993,Eye
SBL Hydrastis Canadensis Mother Tincture Q,SBL Pvt Ltd,Extracts of Golden Seal (Hydrastis) herb,4.5,330,Stomach
Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,Dr Reckeweg & Co,Kali Phosphoricum,4.6,477,Stomach
Bakson's Rheum Aid Tablet,Bakson's Homeopathy,Calcarea phosFerrum phosKali. phosNatrum phosMagnesium phosBerberis vulgCausticumRhododendron chrysRhus tox,4.6,144,Others
Dr. Reckeweg R49 Sinus Drop,Dr Reckeweg & Co,"Arsenicum album, Calcium carbonicum Hahnemanni, Cinnabaris, Kalium bichromicum, Pulsatilla",4.6,326,Brain
SBL Dibonil Drop,SBL Pvt Ltd,"Cephalandra Indica Q, Gymnema Sylvestre Q, Syzygium Jambolanum Q, Crataegus Oxyacantha Q, Acidum Phosphoricum Q, Abroma Augusta Q, Helonias Dioica Q.",4.5,543,Pancreas
SBL Thuja Occidentalis Dilution 200 CH,SBL Pvt Ltd,Thuja Occidentalis,4.4,905,Eye
Dr. Reckeweg Rhus Tox Dilution 200 CH,Dr Reckeweg & Co,Rhus Toxicodendron,4.6,725,Brain
Dr. Reckeweg R27 Renal Calculi Drop,Dr Reckeweg & Co,"Acid. Nitric., Berberis, Lycopodium, Rubia tinctor, Sarsaparilla",4.4,299,Kidney
Dr. Reckeweg R85 High Blood Pressure Drop,Dr Reckeweg & Co,"Allium Sativum D3, Citrus Medica Limonum D3, Cor D30, Glandulae Suprarenales D30, Kalium Jodatum D3, Kalium Phosphoricum D4, Mesencephalon D30, Ren D6, D12, D30, Tartarus Deputatus D5, Valeriana D3.",4.6,246,Others
SBL Arnica Montana Dilution 30 CH,SBL Pvt Ltd,Arnica Montana,4.6,1781,Hair
Dr. Reckeweg R16 Migraine and Neuralgia Drop,Dr Reckeweg & Co,"Cimicifuga, Gelsemium, Iris, Sanguinaria, Spigelia",4.5,279,Eye
SBL Crataegus Oxyacantha Q Mother Tincture,SBL Pvt Ltd,Extracts from the crataegus Oxyacantha plant,4.7,540,Heart
SBL Bryonia Alba Dilution 30 CH,SBL Pvt Ltd,Bryonia Alba,4.6,1073,Joints
SBL Rhus Toxicodendron Dilution 200 CH,SBL Pvt Ltd,Rhus Toxicodendron,4.6,880,Brain
Hapdco Aqui Plus Cream,HAPDCO,Thuja OccidentalisBerberis AquiCalendula OffiLedum PalHydrastis CanCarcuma Longa,4.3,449,Others
SBL Arnica Montana Mother Tincture Q,SBL Pvt Ltd,Arnica Dilution,4.6,314,Eye
SBL Bio-Combination 6 Tablet,SBL Pvt Ltd,,4.7,554,Others
SBL Damiagra Forte Drop,SBL Pvt Ltd,DamianaAgnus CastusWithania SomniferaNuphar LuteaYohimbinumGinsengCaladium Seguinum,4.0,262,Whole Body
Dr. Reckeweg Nux Vomica Dilution 30 CH,Dr Reckeweg & Co,Nux Vomica,4.6,742,Eye
Dr. Reckeweg V-C 15 Forte Tonic,Dr Reckeweg & Co,"Acid phosphor, Citrus medica Iimonum, Cocculus, Ginseng, Helonias, Sepia",4.5,103,Whole Body
SBL Sabal Serrulata Mother Tincture Q,SBL Pvt Ltd,Sabal Serrulata,4.5,295,Throat
Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,Dr Reckeweg & Co,Calcarea PhosphoricaFerrum Phosphoricum,4.8,183,Skin
SBL Calendula Cream,SBL Pvt Ltd,"Ointment Base Q.S. to 100 g (White Petrolatum, Paraffin and Lanolin)",4.7,481,Skin
Dr. Reckeweg Arsenicum Album 30 CH Dilution,Dr Reckeweg & Co,Arsenicum album,4.7,379,Stomach
Dr. Reckeweg Ashwagandha Mother Tincture Q,Dr Reckeweg & Co,Withania Somnifera,4.5,288,Others
Wheezal Mel-X Melasma Tablet,Wheezal Homeo Pharma,CaulophyllumChina officinalisFerrum phosphoricumNatrum hypochlorosumSepiaOleum jacorisThuja occidentalis,4.0,156,Skin
Bakson's Calcarea Phosphorica Biochemic Tablet 6X,Bakson's Homeopathy,Calcarea phosphorica 200x,4.4,30,Joints
Dr. Reckeweg R84 Inhalent Allergy Drop,Dr Reckeweg & Co,"Adrenalium D5, Pili Animalum D30, Fungi D30, Semen Et Pollen Graminis D30, Pulvis Herbae Inutilis D30, Histaminum D30, Pollen D12, D30.",4.5,270,Skin
Dr Willmar Schwabe Germany Biofungin Syrup,Dr Willmar Schwabe India Pvt Ltd,"Magnesium borocitricum, Zincum sulfuricum, Cobaltum nitricum, Cuprum aceticum, Manganum aceticum, Acidum formicicum, Acidum tartaricum",4.7,143,Others
SBL Lycopodium Clavatum Dilution 30 CH,SBL Pvt Ltd,Lycopodium Clavatum,4.5,879,Kidney
SBL Phytolacca Berry Mother Tincture Q,SBL Pvt Ltd,Phytolacca Berry,4.4,239,Whole Body
New Life NL-2 Blood Urea Creatinin Drop,New Life Laboratories Pvt Ltd,"Serum Anguillae 6, Echinacea Angustufolia 12x, Terebinthinae Oleum 6, Uranium Nitricum 12x, Apis Mellifica 12x, Bereberis Vulgaris 12x, Saesaparilla 12x.",4.4,252,Kidney
Bakson's Gastro Aid Tablet,Bakson's Homeopathy,Robinia pseudoacacia 3xCapsicum annuum 3xPhosphorus 4xNatrum phosphoricum 3x,4.5,169,Others
SBL Belladonna Dilution 30 CH,SBL Pvt Ltd,Belladonna,4.7,935,Intestine
SBL Bio-Combination 21 Tablet,SBL Pvt Ltd,,4.6,267,Others
Dr. Reckeweg R82 Anti Fungal Drop,Dr Reckeweg & Co,"Aspergillus niger, Candida albicans, Mycosis fungoides, Penicillinum",4.3,347,Heart
SBL Berberis Aquifolium Mother Tincture Q,SBL Pvt Ltd,Berberis Aquifolium,4.5,250,Eye
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,Thyroidinum 3X,4.6,297,Eye
SBL Magnesia Phosphorica Biochemic Tablet 6X,SBL Pvt Ltd,,4.7,522,Others
